Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
12-22-2021,27019.911036036036,2006 M3,32882,-9.27,-9.29,-10.29
02-01-2022,28646.174617196702,2006 M3,32882,-9.27,-9.29,-10.29
03-14-2022,29980.1725669413,2006 M3,32882,-9.27,-9.29,-10.29
04-24-2022,29300.895791457286,2006 M3,32882,-9.27,-9.29,-10.29
06-04-2022,30804.90608369618,2006 M3,32882,-9.27,-9.29,-10.29
07-15-2022,31119.322815533982,2006 M3,32882,-9.27,-9.29,-10.29
08-25-2022,31593.857098612487,2006 M3,32882,-9.27,-9.29,-10.29
10-05-2022,34806.80342199641,2006 M3,32882,-9.27,-9.29,-10.29
11-15-2022,34802.83514600715,2006 M3,32882,-9.27,-9.29,-10.29
12-26-2022,32387.36357319333,2006 M3,32882,-9.27,-9.29,-10.29
02-05-2023,32603.96445530726,2006 M3,32882,-9.27,-9.29,-10.29
03-18-2023,30970.933696348493,2006 M3,32882,-9.27,-9.29,-10.29
04-28-2023,30035.37285012285,2006 M3,32882,-9.27,-9.29,-10.29
06-08-2023,29631.40914720453,2006 M3,32882,-9.27,-9.29,-10.29
07-19-2023,30080.788344051445,2006 M3,32882,-9.27,-9.29,-10.29
08-29-2023,34745.63061029009,2006 M3,32882,-9.27,-9.29,-10.29
10-09-2023,36308.8116177301,2006 M3,32882,-9.27,-9.29,-10.29
11-19-2023,36742.41650605727,2006 M3,32882,-9.27,-9.29,-10.29
12-30-2023,37169.127466091246,2006 M3,32882,-9.27,-9.29,-10.29
02-09-2024,33097.88513101767,2006 M3,32882,-9.27,-9.29,-10.29
03-21-2024,32985.0722345836,2006 M3,32882,-9.27,-9.29,-10.29
05-01-2024,33259.45601851852,2006 M3,32882,-9.27,-9.29,-10.29
06-11-2024,30690.46449026346,2006 M3,32882,-9.27,-9.29,-10.29
07-22-2024,32833.452264381885,2006 M3,32882,-9.27,-9.29,-10.29
09-01-2024,36159.0616851369,2006 M3,32882,-9.27,-9.29,-10.29
10-12-2024,36414.933809432514,2006 M3,32882,-9.27,-9.29,-10.29
11-22-2024,35710.55733229329,2006 M3,32882,-9.27,-9.29,-10.29
01-02-2014,67520.45332375872,2013 M3,46350,1.68,-0.54,5.61
02-12-2014,66897.4209039548,2013 M3,46350,1.68,-0.54,5.61
03-25-2014,65870.00522482584,2013 M3,46350,1.68,-0.54,5.61
05-05-2014,65154.77714019851,2013 M3,46350,1.68,-0.54,5.61
06-15-2014,65040.37137921871,2013 M3,46350,1.68,-0.54,5.61
07-26-2014,64297.22079562197,2013 M3,46350,1.68,-0.54,5.61
09-05-2014,63398.26681974742,2013 M3,46350,1.68,-0.54,5.61
10-16-2014,62000.6412521815,2013 M3,46350,1.68,-0.54,5.61
11-26-2014,60704.15197931172,2013 M3,46350,1.68,-0.54,5.61
01-06-2015,60321.50580116023,2013 M3,46350,1.68,-0.54,5.61
02-16-2015,58697.02369325375,2013 M3,46350,1.68,-0.54,5.61
03-29-2015,57621.43056309976,2013 M3,46350,1.68,-0.54,5.61
05-09-2015,56598.608802177856,2013 M3,46350,1.68,-0.54,5.61
06-19-2015,56688.785530821915,2013 M3,46350,1.68,-0.54,5.61
07-30-2015,55236.41045498548,2013 M3,46350,1.68,-0.54,5.61
09-09-2015,53215.2844812705,2013 M3,46350,1.68,-0.54,5.61
10-20-2015,52155.825891562774,2013 M3,46350,1.68,-0.54,5.61
11-30-2015,50790.988373665,2013 M3,46350,1.68,-0.54,5.61
01-10-2016,49283.960514696606,2013 M3,46350,1.68,-0.54,5.61
02-20-2016,48965.86326904428,2013 M3,46350,1.68,-0.54,5.61
04-01-2016,47880.42502722982,2013 M3,46350,1.68,-0.54,5.61
